fecha,mes,anio,linea,estacion,tipo_pago,afluencia,temporal_fecha,..anio_fecha
2025-10-01,Octubre,2025,Linea 1,PantitlÃ¡n,Boleto,0,2025-10,2025
2025-10-01,Octubre,2025,Linea 1,PantitlÃ¡n,Prepago,33468,2025-10,2025
2025-10-01,Octubre,2025,Linea 1,PantitlÃ¡n,Gratuidad,5673,2025-10,2025
2025-10-01,Octubre,2025,Linea 1,Zaragoza,Boleto,0,2025-10,2025
2025-10-01,Octubre,2025,Linea 1,Zaragoza,Prepago,21151,2025-10,2025
2025-10-01,Octubre,2025,Linea 1,Zaragoza,Gratuidad,5510,2025-10,2025
2025-10-01,Octubre,2025,Linea 1,GÃ³mez Farias,Boleto,0,2025-10,2025
2025-10-01,Octubre,2025,Linea 1,GÃ³mez Farias,Prepago,18191,2025-10,2025
2025-10-01,Octubre,2025,Linea 1,GÃ³mez Farias,Gratuidad,4162,2025-10,2025
2025-10-01,Octubre,2025,Linea 1,Boulevard Puerto AÃ©reo,Boleto,0,2025-10,2025
2025-10-01,Octubre,2025,Linea 1,Boulevard Puerto AÃ©reo,Prepago,14522,2025-10,2025
2025-10-01,Octubre,2025,Linea 1,Boulevard Puerto AÃ©reo,Gratuidad,3525,2025-10,2025
2025-10-01,Octubre,2025,Linea 1,Balbuena,Boleto,0,2025-10,2025
2025-10-01,Octubre,2025,Linea 1,Balbuena,Prepago,6793,2025-10,2025
2025-10-01,Octubre,2025,Linea 1,Balbuena,Gratuidad,1874,2025-10,2025
2025-10-01,Octubre,2025,Linea 1,Moctezuma,Boleto,0,2025-10,2025
2025-10-01,Octubre,2025,Linea 1,Moctezuma,Prepago,15026,2025-10,2025
2025-10-01,Octubre,2025,Linea 1,Moctezuma,Gratuidad,4480,2025-10,2025
2025-10-01,Octubre,2025,Linea 1,San LÃ¡zaro,Boleto,0,2025-10,2025
2025-10-01,Octubre,2025,Linea 1,San LÃ¡zaro,Prepago,16292,2025-10,2025
2025-10-01,Octubre,2025,Linea 1,San LÃ¡zaro,Gratuidad,3768,2025-10,2025
2025-10-01,Octubre,2025,Linea 1,Candelaria,Boleto,0,2025-10,2025
2025-10-01,Octubre,2025,Linea 1,Candelaria,Prepago,13258,2025-10,2025
2025-10-01,Octubre,2025,Linea 1,Candelaria,Gratuidad,3705,2025-10,2025
2025-10-01,Octubre,2025,Linea 1,Merced,Boleto,0,2025-10,2025
2025-10-01,Octubre,2025,Linea 1,Merced,Prepago,24555,2025-10,2025
2025-10-01,Octubre,2025,Linea 1,Merced,Gratuidad,9553,2025-10,2025
2025-10-01,Octubre,2025,Linea 1,Pino SuÃ¡rez,Boleto,0,2025-10,2025
2025-10-01,Octubre,2025,Linea 1,Pino SuÃ¡rez,Prepago,20844,2025-10,2025
2025-10-01,Octubre,2025,Linea 1,Pino SuÃ¡rez,Gratuidad,5533,2025-10,2025
2025-10-01,Octubre,2025,Linea 1,Isabel la CatÃ³lica,Boleto,0,2025-10,2025
2025-10-01,Octubre,2025,Linea 1,Isabel la CatÃ³lica,Prepago,13517,2025-10,2025
2025-10-01,Octubre,2025,Linea 1,Isabel la CatÃ³lica,Gratuidad,2925,2025-10,2025
2025-10-01,Octubre,2025,Linea 1,Salto del Agua,Boleto,0,2025-10,2025
2025-10-01,Octubre,2025,Linea 1,Salto del Agua,Prepago,10662,2025-10,2025
2025-10-01,Octubre,2025,Linea 1,Salto del Agua,Gratuidad,4596,2025-10,2025
2025-10-01,Octubre,2025,Linea 1,Balderas,Boleto,0,2025-10,2025
2025-10-01,Octubre,2025,Linea 1,Balderas,Prepago,15254,2025-10,2025
2025-10-01,Octubre,2025,Linea 1,Balderas,Gratuidad,3478,2025-10,2025
2025-10-01,Octubre,2025,Linea 1,CuauhtÃ©moc,Boleto,0,2025-10,2025
2025-10-01,Octubre,2025,Linea 1,CuauhtÃ©moc,Prepago,12891,2025-10,2025
2025-10-01,Octubre,2025,Linea 1,CuauhtÃ©moc,Gratuidad,2896,2025-10,2025
2025-10-01,Octubre,2025,Linea 1,Insurgentes,Boleto,0,2025-10,2025
2025-10-01,Octubre,2025,Linea 1,Insurgentes,Prepago,35702,2025-10,2025
2025-10-01,Octubre,2025,Linea 1,Insurgentes,Gratuidad,5251,2025-10,2025
2025-10-01,Octubre,2025,Linea 1,Sevilla,Boleto,0,2025-10,2025
2025-10-01,Octubre,2025,Linea 1,Sevilla,Prepago,21466,2025-10,2025
2025-10-01,Octubre,2025,Linea 1,Sevilla,Gratuidad,2631,2025-10,2025
2025-10-01,Octubre,2025,Linea 1,Chapultepec,Boleto,0,2025-10,2025
2025-10-01,Octubre,2025,Linea 1,Chapultepec,Prepago,40781,2025-10,2025
2025-10-01,Octubre,2025,Linea 1,Chapultepec,Gratuidad,8103,2025-10,2025
2025-10-01,Octubre,2025,Linea 1,JuanacatlÃ¡n,Boleto,0,2025-10,2025
2025-10-01,Octubre,2025,Linea 1,JuanacatlÃ¡n,Prepago,0,2025-10,2025
2025-10-01,Octubre,2025,Linea 1,JuanacatlÃ¡n,Gratuidad,0,2025-10,2025
2025-10-01,Octubre,2025,Linea 1,Tacubaya,Boleto,0,2025-10,2025
2025-10-01,Octubre,2025,Linea 1,Tacubaya,Prepago,0,2025-10,2025
2025-10-01,Octubre,2025,Linea 1,Tacubaya,Gratuidad,0,2025-10,2025
2025-10-01,Octubre,2025,Linea 1,Observatorio,Boleto,0,2025-10,2025
2025-10-01,Octubre,2025,Linea 1,Observatorio,Prepago,0,2025-10,2025
2025-10-01,Octubre,2025,Linea 1,Observatorio,Gratuidad,0,2025-10,2025
2025-10-01,Octubre,2025,Linea 2,Cuatro Caminos,Boleto,0,2025-10,2025
2025-10-01,Octubre,2025,Linea 2,Cuatro Caminos,Prepago,93219,2025-10,2025
2025-10-01,Octubre,2025,Linea 2,Cuatro Caminos,Gratuidad,12230,2025-10,2025
2025-10-01,Octubre,2025,Linea 2,Panteones,Boleto,0,2025-10,2025
2025-10-01,Octubre,2025,Linea 2,Panteones,Prepago,10506,2025-10,2025
2025-10-01,Octubre,2025,Linea 2,Panteones,Gratuidad,1646,2025-10,2025
2025-10-01,Octubre,2025,Linea 2,Tacuba,Boleto,0,2025-10,2025
2025-10-01,Octubre,2025,Linea 2,Tacuba,Prepago,27339,2025-10,2025
2025-10-01,Octubre,2025,Linea 2,Tacuba,Gratuidad,5939,2025-10,2025
2025-10-01,Octubre,2025,Linea 2,CuitlÃ¡huac,Boleto,0,2025-10,2025
2025-10-01,Octubre,2025,Linea 2,CuitlÃ¡huac,Prepago,13780,2025-10,2025
2025-10-01,Octubre,2025,Linea 2,CuitlÃ¡huac,Gratuidad,2032,2025-10,2025
2025-10-01,Octubre,2025,Linea 2,Popotla,Boleto,0,2025-10,2025
2025-10-01,Octubre,2025,Linea 2,Popotla,Prepago,10030,2025-10,2025
2025-10-01,Octubre,2025,Linea 2,Popotla,Gratuidad,1492,2025-10,2025
2025-10-01,Octubre,2025,Linea 2,Colegio Militar,Boleto,0,2025-10,2025
2025-10-01,Octubre,2025,Linea 2,Colegio Militar,Prepago,18302,2025-10,2025
2025-10-01,Octubre,2025,Linea 2,Colegio Militar,Gratuidad,1680,2025-10,2025
2025-10-01,Octubre,2025,Linea 2,Normal,Boleto,0,2025-10,2025
2025-10-01,Octubre,2025,Linea 2,Normal,Prepago,34875,2025-10,2025
2025-10-01,Octubre,2025,Linea 2,Normal,Gratuidad,2440,2025-10,2025
2025-10-01,Octubre,2025,Linea 2,San Cosme,Boleto,0,2025-10,2025
2025-10-01,Octubre,2025,Linea 2,San Cosme,Prepago,18857,2025-10,2025
2025-10-01,Octubre,2025,Linea 2,San Cosme,Gratuidad,3195,2025-10,2025
2025-10-01,Octubre,2025,Linea 2,RevoluciÃ³n,Boleto,0,2025-10,2025
2025-10-01,Octubre,2025,Linea 2,RevoluciÃ³n,Prepago,22931,2025-10,2025
2025-10-01,Octubre,2025,Linea 2,RevoluciÃ³n,Gratuidad,5545,2025-10,2025
2025-10-01,Octubre,2025,Linea 2,Hidalgo,Boleto,0,2025-10,2025
2025-10-01,Octubre,2025,Linea 2,Hidalgo,Prepago,22545,2025-10,2025
2025-10-01,Octubre,2025,Linea 2,Hidalgo,Gratuidad,5566,2025-10,2025
2025-10-01,Octubre,2025,Linea 2,Bellas Artes,Boleto,0,2025-10,2025
2025-10-01,Octubre,2025,Linea 2,Bellas Artes,Prepago,20492,2025-10,2025
2025-10-01,Octubre,2025,Linea 2,Bellas Artes,Gratuidad,4312,2025-10,2025
2025-10-01,Octubre,2025,Linea 2,Allende,Boleto,0,2025-10,2025
